date,calories,distances,steps
2021.4.7,1744.27,7.3,10174
2021.4.8,1865.11,3.46,4829
2021.4.9,2406.2,5.92,8262
2021.4.10,2384.56,6.35,8864
2021.4.11,2456.5,6.059999,8467
2021.4.12,2032.28,3.67,5120
2021.4.13,2498.19,7.54,10557
2021.4.14,2220.59,7.599999,10594
2021.4.15,2074.16,5.97,8313
2021.4.16,2336.62,8.11,11314
2021.4.17,2207.41,6.33,8810
2021.4.18,2364.31,6.31,8798
2021.4.19,2328.03,8.150001,11358
2021.4.20,2616.04,11.1,15456
2021.4.21,1973,3.71,5149
2021.4.22,2010.86,3.39,4754
2021.4.23,2504.36,7.94,11104
2021.4.24,922.1602,1.49,2128
2021.4.25,1556.22,0.64,876
2021.4.26,2066.21,4.11,5739
2021.4.27,1845.88,3.03,4274
2021.4.28,2225.34,7.350001,10243
2021.4.29,1913.81,3.17,4455
2021.4.30,1769.5,3.33,4637
2021.5.1,2173.82,6.16,8591
2021.5.2,1606.79,0.91,1265
2021.5.3,1723.9,3.33,4649
2021.5.4,2196.16,6.809999,9640
2021.5.5,1640.88,1.42,1972
2021.5.6,1400.3,0,0
2021.5.7,1646.93,0.07,100
2021.5.8,1336.65,0,0
2021.5.9,1472.33,0.04,53
2021.5.10,1746.81,2.02,2828
2021.5.11,1638.83,2.02,2809
2021.5.12,1894.59,3.56,5003
2021.5.13,2083.2,3.42,4726
2021.5.14,1792.13,1.5,2106
2021.5.15,1544.57,1.2,1664
2021.5.16,1527.6,0,0
2021.5.17,1336.65,0,0
2021.5.18,2373.98,5.34,7450
2021.5.19,1789.5,1.54,2161
2021.5.20,1400.3,0,0
2021.5.21,1463.95,0,0
2021.5.22,1545.95,0.69,956
2021.5.23,2041.84,4.06,5855
2021.5.24,1834.66,2.22,3074
2021.5.25,1977.99,3.99,5583
2021.5.26,1400.72,0,0
2021.5.27,1836.14,1.96,2716
2021.5.28,1839.11,2.19,3005
2021.5.29,1590.47,0.44,624
2021.5.30,1464.05,0,0
2021.5.31,1527.6,0,0
2021.6.1,1527.6,0,0
2021.6.2,1527.6,0,0
2021.6.3,1527.6,0,0
2021.6.4,1527.6,0,0
2021.6.5,1463.95,0,0
2021.6.6,1527.6,0,0
2021.6.7,1527.6,0,0
2021.6.8,1527.6,0,0
2021.6.9,1527.6,0,0
2021.6.10,1527.6,0,0
2021.6.11,1463.95,0,0
2021.6.12,1527.6,0,0
2021.6.13,1527.6,0,0
2021.6.14,1527.6,0,0
2021.6.15,1527.6,0,0
2021.6.16,1527.6,0,0
2021.6.17,1463.95,0,0
2021.6.18,1463.95,0,0
2021.6.19,1400.3,0,0
2021.6.20,1527.6,0,0
2021.6.21,1527.6,0,0
2021.6.22,1400.3,0,0
2021.6.23,1463.95,0,0
2021.6.24,1400.3,0,0
2021.6.25,1463.95,0,0
2021.6.26,1527.6,0,0
2021.6.27,1527.6,0,0
2021.6.28,1527.6,0,0
2021.6.29,1751.85,2.78,3244
2021.6.30,2246.04,5.41,7571
2021.7.1,2233.33,7.2,9215
2021.7.2,1891.34,2.87,4009
2021.7.3,1527.6,0,0
2021.7.4,1527.6,0,0
2021.7.5,1926.64,2.37,3320
2021.7.6,2143.25,4,5581
2021.7.7,319.72,0,0
2021.8.27,1872.31,6.36,8884
2021.8.28,2313.17,5.199999,7290
2021.8.29,2100.82,4.22,6077
2021.8.30,2047.87,4.23,5910
2021.8.31,1970.85,4.73,6589
2021.9.1,2083.73,5.91,8204
2021.9.2,2252.38,5.88,8188
2021.9.3,2666.23,7.43,10361
2021.9.4,2120.74,5.03,7011
2021.9.5,2168.71,4.960001,6882
2021.9.6,1915.7,4.449999,6056
2021.9.7,2170.08,4.38,6032
2021.9.8,1995.15,3.52,4913
2021.9.9,1909.55,3.53,4934
2021.9.10,2333.33,5.12,7122
2021.9.11,2083.06,3.64,5083
2021.9.12,2073.98,6.97,9828
2021.9.13,2033.77,4.78,6679
2021.9.14,1994.3,5.38,7568
2021.9.15,2054.33,5.26,7298
2021.9.16,1411.32,0.05,76
2021.9.17,2503.28,5.24,7307
2021.9.18,1574.15,1.58,2213
2021.9.19,1863,3.71,5169
2021.9.20,1400.3,0,0
2021.9.21,1336.65,0,0
2021.9.22,1484.63,1.02,1408
2021.9.23,2007.43,4.46,6221
2021.9.24,1893.62,4.05,5677
2021.9.25,1415.23,0.05,50
2021.9.26,1527.6,0,0
2021.9.27,1400.3,0,0
2021.9.28,1460.02,0.14,207
2021.9.29,2153.53,4,5579
2021.9.30,1942.77,3.75,5211
2021.10.1,2079.8,4.64,6461
2021.10.2,1970.65,5.07,7085
2021.10.3,2363.26,4.49,6321
2021.10.4,1980.82,4.400001,6134
2021.10.5,2087.95,4.53,6325
2021.10.6,2206.15,5.03,7022
2021.10.7,2061.96,4.3,5989
2021.10.8,2189.7,6.35,8855
2021.10.9,1406,0,14
2021.10.10,1527.6,0,0
2021.10.11,1527.6,0,0
2021.10.12,1463.95,0,0
2021.10.13,1527.6,0,0
2021.10.14,1463.95,0,0
2021.10.15,1463.95,0,0
2021.10.16,1460.45,0.27,377
2021.10.17,2350.41,7.6,10497
2021.10.18,2466.8,9.48,13184
2021.10.19,1336.65,0,0
2021.10.25,1082.05,0,0
2021.10.26,1527.6,0,0
2021.10.27,1527.6,0,0
2021.10.28,1527.6,0,0
2021.10.29,1400.3,0,0
2021.10.30,1400.3,0,0
2021.10.31,1463.95,0,0
2021.11.1,1614.04,1.07,1488
2021.11.2,2307.13,5.05,7049
2021.11.3,2476.73,6.94,9645
2021.11.4,3552.73,13.79,19259
2021.11.5,2967.06,12.34,17319
2021.11.6,1340.32,0.01,10
2021.11.7,1400.3,0,0
2021.11.8,2414.69,6.99,9823
2021.11.9,1726.78,1.05,1462
2021.11.10,2498.06,5.66,7912
2021.11.11,2732.86,9,12536
2021.11.12,2774.22,6.45,8985
2021.11.13,2954.84,7.71,10621
2021.11.14,1464.48,0,0